Time,Temperature¡C,Humidity%
17-06-2021 01:47:53,31.8,30.6
17-06-2021 01:57:53,31.8,30.6
17-06-2021 02:07:53,31.8,30.6
17-06-2021 02:17:53,31.7,30.6
17-06-2021 02:27:53,31.7,30.6
17-06-2021 02:37:53,31.7,30.6
17-06-2021 02:47:53,31.7,30.6
17-06-2021 02:57:53,31.6,30.6
17-06-2021 03:07:53,31.6,30.5
17-06-2021 03:17:53,31.6,31.1
17-06-2021 03:27:53,31.5,31.1
17-06-2021 03:37:53,31.5,31.1
17-06-2021 03:47:53,31.4,30.5
17-06-2021 03:57:53,31.4,30.5
17-06-2021 04:07:53,31.4,30.5
17-06-2021 04:17:53,31.3,31.1
17-06-2021 04:27:53,31.3,31.1
17-06-2021 04:37:53,31.2,31.1
17-06-2021 04:47:53,31.2,30.5
17-06-2021 04:57:53,31.2,30.5
17-06-2021 05:07:53,31.1,30.5
17-06-2021 05:17:53,31.1,30.5
17-06-2021 05:27:53,31,30.5
17-06-2021 05:37:53,31,31.1
17-06-2021 05:47:53,31,30.5
17-06-2021 05:57:53,31,30.5
17-06-2021 06:07:53,31,30.5
17-06-2021 06:17:53,31.1,30.5
17-06-2021 06:27:53,31.2,30.5
17-06-2021 06:37:53,31.6,30.5
17-06-2021 06:47:53,31.8,30
17-06-2021 06:57:53,32.4,29.4
17-06-2021 07:07:53,32.8,29.5
17-06-2021 07:17:53,33,28.9
17-06-2021 07:27:53,33.1,28.3
17-06-2021 07:37:53,33.2,28.3
17-06-2021 07:47:53,33.3,28.4
17-06-2021 07:57:53,33.3,27.8
17-06-2021 08:07:53,33.3,27.2
17-06-2021 08:17:53,33.3,27.2
